Cell Line Name,Small Molecule Name,Drug Concentration (uM),Time Point (hr),Mean Relative Viability,Mean Apoptosis Fraction
COLO 858,,0,72,,
COLO 858,,0,72,,
COLO 858,,0,72,,
COLO 858,,0,72,,
COLO 858,,0,72,,
COLO 858,,0,72,,
COLO 858,,0,72,,
RVH-421,SB590885,0.0032,24,0.994,0.0543
RVH-421,SB590885,0.0032,48,1.068,0.05
RVH-421,SB590885,0.0032,72,0.9834,0.0342
RVH-421,SB590885,0.01,24,0.9379,0.0588
RVH-421,SB590885,0.01,48,0.8489,0.0534
RVH-421,SB590885,0.01,72,0.995,0.0346
RVH-421,SB590885,0.0316,24,1.0352,0.0478
RVH-421,SB590885,0.0316,48,0.8027,0.0615
RVH-421,SB590885,0.0316,72,0.8717,0.0361
RVH-421,SB590885,0.1,24,1.0345,0.0495
RVH-421,SB590885,0.1,48,0.6891,0.0578
RVH-421,SB590885,0.1,72,0.7018,0.044
RVH-421,SB590885,0.316,24,1.0121,0.0536
RVH-421,SB590885,0.316,48,0.6721,0.0567
RVH-421,SB590885,0.316,72,0.6412,0.0408
RVH-421,SB590885,1,24,1.0244,0.062
RVH-421,SB590885,1,48,0.6378,0.0708
RVH-421,SB590885,1,72,0.5748,0.0371
RVH-421,SB590885,3.16,24,0.9285,0.0619
RVH-421,SB590885,3.16,48,0.5132,0.0883
RVH-421,SB590885,3.16,72,0.5422,0.033
RVH-421,PLX-4720,0.0032,24,0.9321,0.0586
RVH-421,PLX-4720,0.0032,48,1.0326,0.0464
RVH-421,PLX-4720,0.0032,72,0.9785,0.0342
RVH-421,PLX-4720,0.01,24,1.0146,0.0457
RVH-421,PLX-4720,0.01,48,0.8813,0.062
RVH-421,PLX-4720,0.01,72,1.0312,0.035
RVH-421,PLX-4720,0.0316,24,0.9915,0.0542
RVH-421,PLX-4720,0.0316,48,0.9481,0.0512
RVH-421,PLX-4720,0.0316,72,1.0084,0.0338
RVH-421,PLX-4720,0.1,24,1.0529,0.052
RVH-421,PLX-4720,0.1,48,0.9389,0.05
RVH-421,PLX-4720,0.1,72,0.8903,0.0375
RVH-421,PLX-4720,0.316,24,1.0544,0.0578
RVH-421,PLX-4720,0.316,48,0.732,0.058
RVH-421,PLX-4720,0.316,72,0.6782,0.0466
RVH-421,PLX-4720,1,24,0.9813,0.0478
RVH-421,PLX-4720,1,48,0.6734,0.0593
RVH-421,PLX-4720,1,72,0.5689,0.051
RVH-421,PLX-4720,3.16,24,0.9086,0.0574
RVH-421,PLX-4720,3.16,48,0.5407,0.0831
RVH-421,PLX-4720,3.16,72,0.4833,0.0617
RVH-421,AZ-628,0.0032,24,0.9289,0.0557
RVH-421,AZ-628,0.0032,48,1.0628,0.0503
RVH-421,AZ-628,0.0032,72,0.9565,0.0338
RVH-421,AZ-628,0.01,24,0.9636,0.0513
RVH-421,AZ-628,0.01,48,0.944,0.053
RVH-421,AZ-628,0.01,72,0.9153,0.032
